gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2609306494	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/42831583	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.444495	-83.521359	31189.0						2017-10-31T22:21:00	31	10	2017	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	42831583			2020-04-22T10:06:32	CC_BY_NC_4_0	Heiner Ziegler	Heiner Ziegler			2020-05-08T02:26:27.246Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2603467311	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/41857393	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.750181	-82.761465	31227.0						2018-02-14T00:00:00	14	2	2018	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	41857393			2020-04-10T21:39:28	CC_BY_NC_4_0	bogmyrtle	bogmyrtle			2020-05-08T02:26:24.083Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2603301112	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/41888767	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Heredia			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.483162	-84.018699	31189.0						2017-06-06T16:48:00	6	6	2017	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	41888767			2020-04-11T07:25:22	CC_BY_NC_4_0	jessebugz	jessebugz			2020-05-08T02:27:50.301Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2597497924	e44ff4bb-9f72-43d6-b66d-66d00c969380	41213073	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus  		CR	Amérique centrale / Costa Rica		present	1	8f9a6e03-a0ee-4a60-a08f-32463f36adeb	10.259627	-84.065683											5959233	5959233	PRESERVED_SPECIMEN	Musée des Confluences	MHNL	MHNL.41014921		Bonnetain, Hubert		CC_BY_NC_4_0					2020-04-14T21:11:48.995Z		GEODETIC_DATUM_ASSUMED_WGS84
2596438854	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/41022801	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Heredia			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.482088	-84.1346	31189.0						2007-03-02T22:42:00	2	3	2007	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	41022801			2020-03-30T07:34:20	CC_BY_NC_4_0	brothernorbert	brothernorbert			2020-05-08T02:27:27.119Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2596335489	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/40889326	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Alajuela			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.657481	-84.166315	31179.0						2016-02-27T16:55:00	27	2	2016	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	40889326			2020-03-28T16:03:21	CC_BY_NC_4_0	Anneke Jonker	Anneke Jonker			2020-05-08T02:28:01.406Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2596330445	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/40858773	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.32088	-83.29432	31199.0						2019-04-08T15:08:00	8	4	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	40858773			2020-03-28T02:24:30	CC_BY_NC_4_0	Jessica Daze	Jessica Daze			2020-05-08T02:26:19.085Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2596289852	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/41084488	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Heredia			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.405637	-83.974919	45810.0						2020-03-23T09:31:59	23	3	2020	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	41084488			2020-03-31T02:29:10	CC_BY_NC_4_0	daisyma	daisyma			2020-05-08T02:28:02.280Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2596284372	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/40865159	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.237336	-83.356314	31199.0						2019-04-14T17:04:00	14	4	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	40865159			2020-03-28T04:51:12	CC_BY_NC_4_0	Jessica Daze	Jessica Daze			2020-05-08T02:26:36.109Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2576380058	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39206018	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.47099	-83.441311	31189.0						2019-02-10T22:44:00	10	2	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	39206018			2020-02-25T14:32:06	CC_BY_NC_4_0	bvaleur	bvaleur			2020-05-08T02:27:02.533Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2574214263	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/38699305	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Heredia			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.488035	-84.044774	31189.0						2014-02-04T11:49:00	4	2	2014	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	38699305			2020-02-16T05:22:30	CC_BY_NC_4_0	gernotkunz	gernotkunz			2020-05-08T02:27:29.864Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2574159843	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/38540255	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.583171	-83.485265	31189.0						2020-01-26T18:00:00	26	1	2020	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	38540255			2020-02-12T17:12:42	CC_BY_NC_4_0	csillam	csillam			2020-05-08T02:28:12.473Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2540816102	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36861103	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Limón			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.754636	-82.633051	31227.0						2019-12-21T17:40:00	21	12	2019	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	36861103			2019-12-22T19:50:41	CC_BY_NC_4_0	Dean Thompson	Dean Thompson			2020-05-08T02:27:41.199Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2540809917	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36835026	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Ara	Ara ambiguus		SPECIES	Ara ambiguus (Bechstein, 1811)	Ara ambiguus		CR		Cartago			28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.62105	-83.78476	212090.0						2009-01-15T00:00:00	15	1	2009	5959233	5959233	HUMAN_OBSERVATION	iNaturalist	Observations	36835026			2019-12-21T22:03:21	CC_BY_NC_4_0	subhashc	subhashc			2020-05-08T02:27:15.756Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
