fecha,hora,confirmados,fallecidos,recuperados,descartados,activos,confirmados_mujeres,confirmados_hombres,confirmados_adultos,confirmados_mayores,confirmados_menores,confirmados_costarricenses,confirmados_extranjeros,confirmados_edad_min,confirmados_edad_max,confirmados_edad_prom,hospitalizados,hospitalizados_salon,hospitalizados_uci,hospitalizados_uci_edad_min,hospitalizados_uci_edad_max,hospitalizados_uci_edad_prom,comentarios,fuente_oficial,fuentes_adicionales
2020-03-06,16:09,1,0,0,2,1,1,0,1,0,0,0,1,49,49,49,0,0,0,,,,La extranjera era de EEUU.,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1555-caso-confirmado-por-covid-19-en-costa-rica,https://twitter.com/delfinocrc/status/1236041661119070209
2020-03-07,19:50,5,0,0,2,5,3,2,4,1,0,3,2,49,73,53,3,2,1,73,73,73,Los dos extranjeros eran de EEUU.,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1557-ministerio-de-salud-confirma-cinco-casos-de-covid-19-en-nuestro-pais,https://twitter.com/delfinocrc/status/1236460218571264000
2020-03-08,18:38,9,0,0,12,9,6,3,7,2,0,6,3,49,73,53,,,,,,,Los tres extranjeros eran de EEUU.,https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1558-ante-casos-de-covid-19-cne-y-salud-elevan-alerta-sanitaria-a-alerta-amarilla,https://twitter.com/delfinocrc/status/1236812413250482176
2020-03-09,13:55,9,0,0,35,9,6,3,7,2,0,6,3,49,73,,,,,,,,"Los tres extranjeros eran de EEUU. Provincias con casos confirmados: San José, Alajuela, Guanacaste y Heredia.",https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1560-gobierno-cancela-eventos-masivos-e-instruye-teletrabajo-para-sector-publico,https://twitter.com/delfinocrc/status/1237097682096840705
2020-03-10,8:37,13,0,0,59,13,8,5,9,2,2,8,3,11,73,47,,,,,,,"Los tres extranjeros eran de EEUU. Provincias con casos confirmados: San José, Alajuela, Guanacaste y Heredia.",https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1561-casos-confirmados-covid-19-ascienden-a-13,https://twitter.com/delfinocrc/status/1237462731457994754
2020-03-11,14:44,22,0,0,118,22,14,8,18,2,2,19,3,10,73,,,,,,,,"A partir de esta fecha se generan cuadros en formato gráfico. Provincias con casos confirmados: San José, Alajuela, Guanacaste y Heredia. 16 de los casos confirmados son contactos del paciente internado en condición delicada, previos a su diagnóstico. Los pacientes se encuentran aislados en sus casas de habitación o centros médicos y con seguimiento total por parte de las autoridades sanitarias.",https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1565-ministro-de-salud-daniel-salas-todos-debemos-contribuir-para-proteger-a-la-poblacion-mas-vulnerable-ante-el-covid-19,https://twitter.com/delfinocrc/status/1237817552442703873
2020-03-12,16:18,23,0,0,206,23,14,9,19,2,2,20,3,10,73,,,,1,,,,,https://twitter.com/msaludcr/status/1238228003664076802,https://twitter.com/delfinocrc/status/1238203824608854023
2020-03-13,19:41,26,0,0,289,26,14,12,21,3,2,23,3,10,87,,,,3,,,,"El dato de graves fue tomado de la información de Delfino. Este comunicado no fue publicado en Twitter, sino en un archivo PDF del sitio web del Ministerio de Salud.",https://www.ministeriodesalud.go.cr/sobre_ministerio/prensa/img_cvd/img_datos_marzo_2020_3.pdf,https://twitter.com/delfinocrc/status/1238617708813524994
2020-03-14,13:40,27,0,0,415,27,15,12,22,3,2,23,4,10,87,,,,4,,,,El dato de graves fue tomado de la información de Delfino.,https://twitter.com/msaludcr/status/1238912811427921922,https://twitter.com/delfinocrc/status/1238904601572671492
2020-03-15,15:50,35,0,0,450,35,19,16,28,3,4,30,5,10,87,,,,4,,,,"El dato de graves fue tomado de la información de Delfino. A partir de esta fecha, los datos se dan desglosados por cantón.",https://twitter.com/msaludcr/status/1239308024587718672,https://twitter.com/delfinocrc/status/1239270020204638220
2020-03-16,14:46,41,0,0,615,41,20,21,32,5,4,35,6,10,87,,,,4,,,,El dato de graves fue tomado de la información de Delfino.,https://twitter.com/msaludcr/status/1239654195646644230,https://twitter.com/delfinocrc/status/1239662166443253763
2020-03-17,13:26,50,0,0,720,50,24,26,40,6,4,44,6,10,87,,,,4,,,,El dato de graves fue tomado de la información de Delfino.,https://twitter.com/msaludcr/status/1239996571032436736,https://twitter.com/delfinocrc/status/1239992708741173248
2020-03-18,13:07,69,0,0,855,69,30,39,57,7,5,63,6,8,87,,,,3,,,,El dato de graves fue tomado de la información de Delfino.,https://twitter.com/msaludcr/status/1240354186480488449,https://twitter.com/delfinocrc/status/1240352672647176193
2020-03-19,13:10,87,1,0,951,86,35,52,73,7,7,79,8,2,87,,,,2,,,,El dato de graves fue tomado de la información de Delfino.,https://twitter.com/msaludcr/status/1240717229412343808,https://twitter.com/delfinocrc/status/1240744773423714304
2020-03-20,17:49,113,2,2,1046,109,46,67,97,9,7,104,9,2,87,,,,2,,,,"El comunicado que emitió el Ministerio de Salud cerca de las 13:30 fue corregido después de las 17:00. En el primero mencionaban un cantón llamado San Pedro, que no aparece ya en el segundo. El dato de recuperados no está en el comunicado del Ministerio, pero fue mencionado después. El dato de graves fue tomado de la información de Delfino.",https://twitter.com/msaludcr/status/1241149921341947905,https://twitter.com/delfinocrc/status/1241084884166283265
2020-03-21,17:28,117,2,2,1190,113,48,69,100,10,7,107,10,2,87,,,,3,,,,El dato de graves fue tomado de la información de Delfino.,https://twitter.com/msaludcr/status/1241506979287379968,https://twitter.com/delfinocrc/status/1241442548285145088
2020-03-22,13:53,134,2,2,1400,130,55,79,113,14,7,117,17,2,87,,,,3,,,,El dato de graves fue tomado de la información de Delfino.,https://twitter.com/msaludcr/status/1241815313336991744,https://twitter.com/delfinocrc/status/1241802936264667137
2020-03-23,13:12,158,2,2,1533,154,68,90,135,16,7,141,17,2,87,41,,,3,,,,,https://twitter.com/msaludcr/status/1242167393658470401,https://twitter.com/delfinocrc/status/1242166001292267521
2020-03-24,13:52,177,2,2,1619,173,74,103,154,16,7,159,18,2,87,42,6,2,4,35,50,,"Se menciona nuevamente la edad promedio: 41.5 años. En la conferencia de prensa, se dice que los hospitalizados son 6.",https://twitter.com/msaludcr/status/1242539859929112579,https://twitter.com/delfinocrc/status/1242525936567844864
2020-03-25,13:27,201,2,2,1684,197,84,117,177,17,7,183,18,2,87,41,6,2,4,35,50,,Los pacientes en cuidados intensivos tienen entre 35 y 50 años. 8 pacientes están en estudio para ser dados de alta. 6 personas están hospitalizadas y 4 en cuidados intensivos. El promedio de edad de los casos es 41.2 años.,https://twitter.com/msaludcr/status/1242895825992376320,"https://twitter.com/delfinocrc/status/1242902946800697345, https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1585-gobierno-insta-a-poblacion-a-acatar-restriccion-vehicular-sanitaria"
2020-03-26,13:11,231,2,2,2331,227,101,130,204,19,8,209,18,2,87,41,6,1,5,,,,internados: 6. nacionalidad desconocida: 4. en análisis para dar de alta: 8,https://twitter.com/msaludcr/status/1243254303609020417,https://twitter.com/delfinocrc/status/1243271645608972290
2020-03-27,13:41,263,2,3,2786,258,121,142,233,22,8,241,20,2,87,41,9,4,5,36,66,,internados: 9. nacionalidad desconocida: 2. en análisis para dar de alta: 7,https://twitter.com/msaludcr/status/1243624284091822080,"https://twitter.com/delfinocrc/status/1243626167015477250, https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1588-gobierno-amplia-restriccion-vehicular-sanitaria-a-partir-de-las-8-p-m-fines-de-semana"
2020-03-28,15:20,295,2,3,2912,290,138,157,263,22,10,272,21,1,87,40,15,9,6,36,66,,,https://twitter.com/msaludcr/status/1244011527717498880,https://twitter.com/delfinocrc/status/1243981793990238208
2020-03-29,13:48,314,2,3,3115,309,150,164,280,22,12,290,24,1,87,40,13,7,6,,,,13 hospotalizados,https://www.ministeriodesalud.go.cr/sobre_ministerio/prensa/img_cvd/img_datos_marzo_2020_19.jpeg,"https://twitter.com/delfinocrc/status/1244340065330921473, https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1590-semana-cierra-con-314-personas-positivas-por-covid-19"
2020-03-30,15:22,330,2,4,3362,324,160,170,293,24,13,303,27,1,87,40,15,8,7,,,,15 hospitalizados,https://twitter.com/msaludcr/status/1244736850696327169,"https://twitter.com/delfinocrc/status/1244711256810033153, https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1591-cuatro-personas-recuperadas-luego-enfrentar-covid-19"
2020-03-31,0:00,347,2,4,3498,341,167,180,309,24,14,320,27,1,87,40,15,7,8,36,69,,,https://www.ministeriodesalud.go.cr/sobre_ministerio/prensa/img_cvd/img_datos_marzo_2020_21.jpeg,"https://twitter.com/delfinocrc/status/1245068961391300608, https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1592-ocho-laboratorios-privados-con-autorizacion-para-realizar-pruebas-covid-19"
2020-04-01,12:59,375,2,4,3843,369,181,194,337,24,14,346,29,1,87,40,15,6,9,36,69,,,https://twitter.com/msaludcr/status/1245425470591639553,https://twitter.com/delfinocrc/status/1245442360642863107
2020-04-02,13:52,396,2,6,3954,388,192,204,356,26,14,366,30,1,87,40,17,6,11,36,69,,,https://twitter.com/msaludcr/status/1245801322743574532,https://twitter.com/delfinocrc/status/1245795838460297219
2020-04-03,13:37,416,2,11,4044,403,201,215,373,27,16,385,31,1,87,40,23,10,13,24,69,,,https://twitter.com/msaludcr/status/1246159910309711872,https://twitter.com/delfinocrc/status/1246154616481501185
2020-04-04,0:00,435,2,13,4219,420,212,223,392,28,15,404,31,1,87,40,25,12,13,24,85,,,https://www.ministeriodesalud.go.cr/sobre_ministerio/prensa/img_cvd/img_datos_marzo_2020_25.jpeg,"https://twitter.com/delfinocrc/status/1246515997881839616, https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1598-435-casos-confirmados-por-covid-19-25-de-ellos-hospitalizados"
2020-04-05,13:18,454,2,16,4644,436,222,232,411,28,15,423,31,1,87,40,26,12,14,35,85,,,https://twitter.com/msaludcr/status/1246879798267228160,"https://twitter.com/delfinocrc/status/1246879492326506496, https://www.ministeriodesalud.go.cr/index.php/centro-de-prensa/noticias/741-noticias-2020/1600-semana-cierra-con-16-personas-recuperadas-por-covid-19"
2020-04-06,13:24,467,2,18,4896,447,227,240,422,29,16,435,32,1,87,39,26,12,14,35,85,,,https://twitter.com/msaludcr/status/1247243786461249537,https://twitter.com/delfinocrc/status/1247238068043755520
2020-04-07,13:09,483,2,24,5042,457,237,246,437,29,17,449,34,1,87,39,25,11,14,35,85,,,https://www.ministeriodesalud.go.cr/sobre_ministerio/prensa/img_cvd/img_datos_marzo_2020_28.jpeg,https://twitter.com/delfinocrc/status/1247611738629038082
2020-04-08,13:51,502,2,29,5533,471,243,259,455,29,18,468,34,1,87,39,23,8,15,35,85,,,https://twitter.com/msaludcr/status/1247975466411208705,https://twitter.com/delfinocrc/status/1247964276335300608
2020-04-09,13:21,539,3,30,5759,506,259,280,492,29,18,505,34,1,87,38,19,6,13,35,85,,,https://twitter.com/msaludcr/status/1248330313253752832,https://twitter.com/delfinocrc/status/1248356938783612929
2020-04-10,13:09,558,3,42,5894,513,269,289,508,30,20,524,34,1,87,39,20,7,13,35,85,,,https://twitter.com/msaludcr/status/1248689697444036609,https://twitter.com/delfinocrc/status/1248688930200879104
2020-04-11,13:13,577,3,49,6031,525,277,300,526,31,20,541,36,1,87,39,18,5,13,35,85,,,https://twitter.com/msaludcr/status/1249053055397572609,https://twitter.com/delfinocrc/status/1249072501180837889
2020-04-12,19:08,595,3,56,6167,536,285,310,542,31,22,557,38,1,87,38,19,5,14,35,85,,,https://twitter.com/msaludcr/status/1249504588425723906,https://twitter.com/delfinocrc/status/1249415856649633793
2020-04-13,13:13,612,3,62,6256,547,295,317,557,31,24,569,43,1,87,38,20,6,14,35,85,,,https://twitter.com/msaludcr/status/1249777697590513665,https://twitter.com/delfinocrc/status/1249904013056847872
2020-04-14,13:08,618,3,66,6326,549,298,320,562,31,25,575,43,1,87,38,19,6,13,35,85,,,https://www.ministeriodesalud.go.cr/sobre_ministerio/prensa/img_cvd/img_datos_marzo_2020_35.jpeg,https://twitter.com/delfinocrc/status/1250142279773323265
2020-04-15,14:15,626,4,67,6511,555,302,324,570,31,25,583,43,1,87,38,16,5,11,35,75,,Muestras totales: 9089,https://twitter.com/msaludcr/status/1250518077059616772,https://twitter.com/delfinocrc/status/1250504401451716615
2020-04-16,12:53,642,4,74,6709,564,308,334,583,31,28,591,51,1,87,38,16,5,11,35,75,,Muestras totales: 9396,https://www.ministeriodesalud.go.cr/sobre_ministerio/prensa/img_cvd/img_datos_marzo_2020_37.jpg,https://twitter.com/delfinocrc/status/1250863896598138881
2020-04-17,12:53,649,4,88,6874,557,312,337,588,31,30,595,54,1,87,38,15,5,10,44,75,,Muestras totales: 9752,https://twitter.com/msaludcr/status/1251222229729280011,https://twitter.com/delfinocrc/status/1251226088531005448
2020-04-18,18:23,655,4,97,7095,554,314,341,594,31,30,600,55,1,87,38,16,6,10,44,75,,Muestras totales: 10138,https://twitter.com/msaludcr/status/1251667713480691716,https://twitter.com/delfinocrc/status/1251589759929065473
2020-04-19,15:06,660,4,112,7142,544,317,343,596,32,32,604,56,1,87,38,15,5,10,44,75,,Muestras totales: 10417,https://twitter.com/msaludcr/status/1251980507690172416,https://twitter.com/delfinocrc/status/1251956307516485632
2020-04-20,13:36,662,6,124,7236,532,317,345,598,32,32,606,56,1,87,38,13,5,8,44,75,,,https://twitter.com/msaludcr/status/1252320293420482561,https://twitter.com/delfinocrc/status/1252322008895049729
2020-04-21,14:06,669,6,150,7495,513,320,349,602,33,34,611,58,1,87,38,11,5,6,44,75,,,https://twitter.com/msaludcr/status/1252690160363483142,https://twitter.com/delfinocrc/status/1252676985173786625
2020-04-22,13:36,681,6,180,7784,495,326,355,613,34,34,616,65,1,87,38,11,3,8,44,76,,,https://twitter.com/msaludcr/status/1253045118808084482,https://twitter.com/delfinocrc/status/1253036443817127936
2020-04-23,16:02,686,6,196,8032,484,328,358,617,35,34,619,67,1,87,38,13,5,8,44,76,,,https://www.ministeriodesalud.go.cr/sobre_ministerio/prensa/img_cvd/img_datos_marzo_2020_44.jpg,https://twitter.com/delfinocrc/status/1253446886503129088
2020-04-24,13:29,687,6,216,8133,465,328,359,618,35,34,620,67,1,87,38,12,5,7,44,76,,,https://twitter.com/msaludcr/status/1253767960726028289,https://twitter.com/delfinocrc/status/1253763002601521153
2020-04-25,14:16,693,6,242,8214,445,333,360,624,35,34,626,67,1,87,38,13,6,7,44,76,,,https://twitter.com/msaludcr/status/1254142189137014784,https://twitter.com/delfinocrc/status/1254121999082938371
2020-04-26,13:22,695,6,264,8249,425,334,361,625,36,34,628,67,1,87,38,16,8,8,49,76,,,https://twitter.com/msaludcr/status/1254491040737824771,https://twitter.com/delfinocrc/status/1254486705924706306
