cod_provin,provincia,cod_canton,canton,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020
1,San José,112,Acosta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2
1,San José,110,Alajuelita,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,4,4,4,6,5,7,8,8,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,16,16,17,17,16,16,16,16,20,19,23,23,26,28,30,33,32,33,47,54,56,68,69,75,84,91,97,116,121,126
1,San José,106,Aserrí,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,6,5,6,7,8,9,9,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,19,19,19,19,19,20,20,20,20,20,20,20,20,20,21,21,22,22,24,24,24,24,24,24,24,24,28,28,28,28,28,28,29,29,29,29,29,29,29,29,30,30,30,31,31,32,32,35
1,San José,118,Curridabat,0,0,1,2,3,5,5,5,5,5,5,5,7,8,8,10,11,12,14,14,14,14,14,15,15,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,27,28,28,29,29,29,29,29,29,29,31,33,34,34,34,35,35,38,40,42
1,San José,103,Desamparados,4,4,4,4,4,5,4,4,5,5,7,8,12,11,13,13,15,17,18,19,21,21,23,23,27,30,31,34,37,38,39,39,42,44,44,44,44,46,46,47,47,44,45,46,46,46,46,46,46,46,46,46,47,47,48,48,48,48,48,48,48,49,48,48,48,48,48,48,48,48,47,46,46,46,46,46,46,46,46,47,53,54,55,53,53,53,53,55,56,57,57,57,57,58,61,65,77,84,92,95,102,125,138,144,159
1,San José,117,Dota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,San José,102,Escazú,4,5,5,6,9,11,11,11,11,13,13,13,14,16,17,18,19,18,18,18,18,19,19,19,19,22,23,24,27,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,32,32,34,42,42,42,43,43,43,45,46,46,48,52,56,56,61,62
1,San José,108,Goicoechea,0,0,0,1,1,1,0,0,7,7,8,8,9,10,10,10,11,10,11,10,11,11,11,12,13,14,16,16,17,17,18,18,18,18,19,19,19,19,19,20,20,21,21,21,22,22,23,24,24,24,26,27,30,30,30,30,30,30,30,30,30,31,31,32,32,32,32,32,33,33,34,36,37,37,38,38,38,38,38,39,39,39,39,41,43,43,46,47,48,50,50,51,53,54,54,57,58,58,58,61,61,62,66,71,72
1,San José,120,León Cortés Castro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,San José,115,Montes de Oca,0,0,0,0,0,2,3,3,3,3,5,5,5,8,8,8,8,9,9,9,9,9,11,12,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,19,19,19,19,19,19,19,19,19,19,19,20,21,22,22
1,San José,107,Mora,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,11,11,11,12,12,12,12,13,13,13,14,14,14,14,14,14,16,16,16
1,San José,114,Moravia,0,0,0,1,1,3,4,5,6,6,6,6,7,8,8,8,8,9,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,16,15,16,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,18,19,20,21,20,20,20,21,21,23
