,,,,,,,,,,
,"CUADRO No.7-2 
Número de casos acumulados, recuperados, fallecidos y activos por COVID-191 
Por provincia,cantón y distrito",,,,,,,,,Volver al Índice
,1,"de julio,2020",,,,,,,,
,,,,CASOS COVID-19,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS,,
,Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*,,
,,,,,,,,,,
,San José,,,,1543,537,8,998,,
,,,Acosta,,3,0,0,3,,
,,,,Cangrejal,1,0,0,1,,
,,,,Guaitil,0,0,0,0,,
,,,,Palmichal,1,0,0,1,,
,,,,Sabanillas,0,0,0,0,,
,,,,San Ignacio,0,0,0,0,,
,,,,Sin información de distrito,1,0,0,1,,
,,,Alajuelita,,190,26,1,163,,
,,,,Alajuelita,52,3,1,48,,
,,,,Concepción,49,8,0,41,,
,,,,San Antonio,13,2,0,11,,
,,,,San Felipe,54,5,0,49,,
,,,,San Josecito,19,8,0,11,,
,,,,Sin información de distrito,3,0,0,3,,
,,,Aserrí,,43,26,0,17,,
,,,,Aserrí,32,20,0,12,,
,,,,Legua,0,0,0,0,,
,,,,Monterrey,0,0,0,0,,
,,,,Salitrillos,2,1,0,1,,
,,,,San Gabriel,1,0,0,1,,
,,,,Tarbaca,0,0,0,0,,
,,,,Vuelta de Jorco,1,0,0,1,,
,,,,Sin información de distrito,7,5,0,2,,
,,,Curridabat,,57,29,0,28,,
,,,,Curridabat,22,13,0,9,,
,,,,Granadilla,16,11,0,5,,
,,,,Sánchez,4,2,0,2,,
,,,,Tirrases,15,3,0,12,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Desamparados,,251,60,2,189,,
,,,,Damas,6,4,0,2,,
,,,,Desamparados,47,11,0,36,,
,,,,Frailes,1,0,0,1,,
,,,,Gravilias,12,6,0,6,,
,,,,Los Guido,28,1,0,27,,
,,,,Patarra,17,12,0,5,,
,,,,Rosario,0,0,0,0,,
,,,,San Antonio,4,3,0,1,,
,,,,San Cristobal,0,0,0,0,,
,,,,San Juan de Dios,28,4,0,24,,
,,,,San Miguel,21,10,1,10,,
,,,,San Rafael Abajo,67,1,1,65,,
,,,,San Rafael Arriba,12,3,0,9,,
,,,,Sin información de distrito,8,5,0,3,,
,,,Dota,,0,0,0,0,,
,,,,Copey,0,0,0,0,,
,,,,Jardín,0,0,0,0,,
,,,,Santa María,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Escazú,,73,42,0,31,,
,,,,Escazú,18,11,0,7,,
,,,,San Antonio,6,1,0,5,,
,,,,San Rafael,48,29,0,19,,
,,,,Sin información de distrito,1,1,0,0,,
,,,Goicoechea,,101,50,0,51,,
,,,,Calle Blancos,8,3,0,5,,
,,,,Guadalupe,17,9,0,8,,
,,,,Ipis,24,20,0,4,,
,,,,Mata de Plátano,12,2,0,10,,
,,,,Purral,32,11,0,21,,
,,,,Rancho Redondo,2,0,0,2,,
,,,,San Francisco,2,1,0,1,,
,,,,Sin información de distrito,4,4,0,0,,
,,,León Cortés Castro,,0,0,0,0,,
,,,,Llano Bonito,0,0,0,0,,
,,,,San Andrés,0,0,0,0,,
,,,,San Antonio,0,0,0,0,,
,,,,San Isidro,0,0,0,0,,
,,,,San Pablo,0,0,0,0,,
,,,,Santa Cruz,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Montes de Oca,,34,18,0,16,,
,,,,Mercedes,2,0,0,2,,
,,,,Sabanilla,10,8,0,2,,
,,,,San Pedro,11,5,0,6,,
,,,,San Rafael,11,5,0,6,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Mora,,19,13,1,5,,
,,,,Colón,17,13,1,3,,
,,,,Guayabo,2,0,0,2,,
,,,,Jaris,0,0,0,0,,
,,,,Picagres,0,0,0,0,,
,,,,Piedras Negras,0,0,0,0,,
,,,,Quitirrisí,0,0,0,0,,
,,,,Tabarcia,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Moravia,,39,17,0,22,,
,,,,La Trinidad,16,4,0,12,,
,,,,San Jerónimo,3,2,0,1,,
,,,,San Vicente,20,11,0,9,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Pérez Zeledón,,9,6,0,3,,
,,,,Barú,0,0,0,0,,
,,,,Cajón,0,0,0,0,,
,,,,Daniel Flores,3,1,0,2,,
,,,,El General,0,0,0,0,,
,,,,La Amistad,0,0,0,0,,
,,,,Paramo,0,0,0,0,,
,,,,Pejibaye,0,0,0,0,,
,,,,Platanares,0,0,0,0,,
,,,,Río Nuevo,0,0,0,0,,
,,,,Rivas,0,0,0,0,,
,,,,San Isidro de El General,5,4,0,1,,
,,,,San Pedro,0,0,0,0,,
,,,,Sin información de distrito,1,1,0,0,,
,,,Puriscal,,8,2,0,6,,
,,,,Barbacoas,1,1,0,0,,
,,,,Candelarita,0,0,0,0,,
,,,,Chires,1,0,0,1,,
,,,,Desamparaditos,0,0,0,0,,
,,,,Grifo Alto,0,0,0,0,,
,,,,Mercedes Sur,0,0,0,0,,
,,,,San Antonio,2,1,0,1,,
,,,,San Rafael,1,0,0,1,,
,,,,Santiago,3,0,0,3,,
,,,,Sin información de distrito,0,0,0,0,,
,,,San José,,543,160,2,381,,
,,,,Catedral,33,10,0,23,,
,,,,El Carmen,21,4,0,17,,
