,,,,,,,,,
,,CUADRO No.3 
Número de casos acumulados, recuperados, fallecidos y activos por COVID-191 
Por provincia,cantón y distrito,,,,,,,
,,17 de noviembre de 2020,,,,,,,
,,,,,,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS
,,Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*
,,,,,,,,,
,,San José,,,,53551,37821,778,14952
,,,,Acosta,,629,538,2,89
,,,,,Cangrejal,57,47,0,10
,,,,,Guaitil,66,60,1,5
,,,,,Palmichal,138,117,0,21
,,,,,Sabanillas,22,16,0,6
,,,,,San Ignacio,343,295,1,47
,,,,,Sin información de distrito,3,3,0,0
,,,,Alajuelita,,4932,3278,59,1595
,,,,,Alajuelita,875,562,19,294
,,,,,Concepción,1154,750,13,391
,,,,,San Antonio,185,112,3,70
,,,,,San Felipe,2047,1429,21,597
,,,,,San Josecito,663,417,3,243
,,,,,Sin información de distrito,8,8,0,0
,,,,Aserrí,,1514,669,16,829
,,,,,Aserrí,915,415,10,490
,,,,,Legua,9,2,0,7
,,,,,Monterrey,7,3,0,4
,,,,,Salitrillos,224,110,5,109
,,,,,San Gabriel,95,31,1,63
,,,,,Tarbaca,55,17,0,38
,,,,,Vuelta de Jorco,192,74,0,118
,,,,,Sin información de distrito,17,17,0,0
,,,,Curridabat,,2767,2349,37,381
,,,,,Curridabat,1150,942,14,194
,,,,,Granadilla,514,444,8,62
,,,,,Sánchez,132,102,0,30
,,,,,Tirrases,954,844,15,95
,,,,,Sin información de distrito,17,17,0,0
,,,,Desamparados,,8121,3483,130,4508
,,,,,Damas,448,190,11,247
,,,,,Desamparados,1308,628,38,642
,,,,,Frailes,26,11,0,15
,,,,,Gravilias,384,148,5,231
,,,,,Los Guido,1100,478,16,606
,,,,,Patarra,324,147,3,174
,,,,,Rosario,52,26,2,24
,,,,,San Antonio,281,113,6,162
,,,,,San Cristobal,44,17,0,27
,,,,,San Juan de Dios,685,311,10,364
,,,,,San Miguel,1636,595,13,1028
,,,,,San Rafael Abajo,1174,583,9,582
,,,,,San Rafael Arriba,632,212,16,404
,,,,,Sin información de distrito,27,24,1,2
,,,,Dota,,23,21,0,2
,,,,,Copey,1,1,0,0
,,,,,Jardín,4,4,0,0
,,,,,Santa María,18,16,0,2
,,,,,Sin información de distrito,0,0,0,0
,,,,Escazú,,1847,1668,31,148
,,,,,Escazú,511,468,10,33
,,,,,San Antonio,577,529,11,37
,,,,,San Rafael,744,656,10,78
,,,,,Sin información de distrito,15,15,0,0
,,,,Goicoechea,,3899,3080,67,752
,,,,,Calle Blancos,454,326,8,120
,,,,,Guadalupe,860,656,19,185
,,,,,Ipis,848,654,20,174
,,,,,Mata de Plátano,493,399,6,88
,,,,,Purral,1051,883,11,157
,,,,,Rancho Redondo,116,97,0,19
,,,,,San Francisco,52,43,3,6
,,,,,Sin información de distrito,25,22,0,3
,,,,León Cortés Castro,,61,53,0,8
,,,,,Llano Bonito,4,3,0,1
,,,,,San Andrés,4,4,0,0
,,,,,San Antonio,14,14,0,0
,,,,,San Isidro,6,4,0,2
,,,,,San Pablo,26,22,0,4
,,,,,Santa Cruz,7,6,0,1
,,,,,Sin información de distrito,0,0,0,0
,,,,Montes de Oca,,1183,974,13,196
,,,,,Mercedes,56,44,0,12
,,,,,Sabanilla,237,199,1,37
,,,,,San Pedro,590,473,8,109
,,,,,San Rafael,294,253,4,37
,,,,,Sin información de distrito,6,5,0,1
,,,,Mora,,814,719,10,85
,,,,,Colón,552,480,6,66
,,,,,Guayabo,111,102,3,6
,,,,,Jaris,5,5,0,0
,,,,,Picagres,7,6,0,1
,,,,,Piedras Negras,8,3,0,5
,,,,,Quitirrisí,15,12,0,3
,,,,,Tabarcia,112,107,1,4
,,,,,Sin información de distrito,4,4,0,0
,,,,Moravia,,1237,978,17,242
,,,,,La Trinidad,545,433,8,104
,,,,,San Jerónimo,128,97,2,29
,,,,,San Vicente,559,443,7,109
,,,,,Sin información de distrito,5,5,0,0
,,,,Pérez Zeledón,,930,227,7,696
,,,,,Barú,0,0,0,0
,,,,,Cajón,48,23,0,25
,,,,,Daniel Flores,313,65,4,244
,,,,,El General,3,3,0,0
,,,,,La  Amistad,5,0,0,5
,,,,,Paramo,12,6,0,6
,,,,,Pejibaye,62,3,1,58
,,,,,Platanares,36,11,0,25
,,,,,Río Nuevo,21,5,0,16
,,,,,Rivas,22,3,1,18
,,,,,San Isidro de El General,380,97,1,282
,,,,,San Pedro,26,9,0,17
,,,,,Sin información de distrito,2,2,0,0
,,,,Puriscal,,620,515,8,97
,,,,,Barbacoas,82,71,0,11
,,,,,Candelarita,19,18,1,0
,,,,,Chires,21,14,0,7
,,,,,Desamparaditos,15,11,0,4
,,,,,Grifo Alto,12,10,1,1
,,,,,Mercedes Sur,86,71,2,13
,,,,,San Antonio,98,81,0,17
,,,,,San Rafael,50,44,1,5
,,,,,Santiago,236,195,3,38
,,,,,Sin información de distrito,1,0,0,1
,,,,San José,,18474,15239,276,2959
,,,,,Catedral,863,692,11,160
,,,,,El Carmen,345,197,5,143
,,,,,Hatillo,2637,2347,50,240
,,,,,Hospital,1700,1431,38,231
,,,,,Mata Redonda,352,274,6,72
,,,,,Merced,937,632,12,293
,,,,,Pavas,5423,4837,54,532
,,,,,San Francisco de Dos Ríos,525,409,10,106
,,,,,San Sebastián,2151,1815,31,305
,,,,,Uruca,2749,2008,44,697
,,,,,Zapote,711,521,14,176
,,,,,Sin información de distrito,81,76,1,4
,,,,Santa Ana,,2016,1460,21,535
,,,,,Brasil,73,41,1,31
,,,,,Piedades,261,194,4,63
,,,,,Pozos,633,463,5,165
,,,,,Salitral,144,97,2,45
